params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion
"{'n_estimators': 100, 'max_depth': 31, 'min_samples_split': 15, 'min_samples_leaf': 9, 'criterion': 'entropy'}",1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.45,0.47169905660283024,8,0.0232558139534883,0.0232558139534883,0.0,0.0116279069767441,0.0,0.0,0.0344827586206896,0.0,0.0459770114942528,0.0,0.013859930499866311,0.01612092887944888,8,0.0454545454545454,0.0454545454545454,0.0,0.0227272727272727,0.0,0.0,0.0666666666666666,0.0,0.0879120879120879,0.0,0.026821511821511802,0.03102870447210234,8,0.922396359959555,0.912749706227967,0.9340515945672668,0.9123124641324843,0.93866015258097,0.8778237277598708,0.9432686654908876,0.9423564231993352,0.9534317203538148,0.9396196963246772,0.9276670510596828,0.020971194994604567,8,7.822355031967163,1,100,31,15,9,entropy
"{'n_estimators': 100, 'max_depth': 17, 'min_samples_split': 26, 'min_samples_leaf': 2, 'criterion': 'entropy'}",0.7,1.0,0.8,0.5,0.5,0.8,1.0,1.0,1.0,1.0,0.8300000000000001,0.19519221295943134,5,0.0813953488372093,0.1511627906976744,0.0465116279069767,0.0116279069767441,0.0229885057471264,0.0459770114942528,0.1149425287356321,0.1954022988505747,0.1839080459770115,0.1494252873563218,0.10033413525795239,0.06425794195483318,5,0.1458333333333333,0.2626262626262626,0.0879120879120879,0.0227272727272727,0.0439560439560439,0.0869565217391304,0.2061855670103092,0.3269230769230769,0.3106796116504854,0.26,0.1753799777878002,0.10672871722600434,5,0.9360738392588746,0.9234074823053592,0.944111578717241,0.9174295630311808,0.9543777493969064,0.8953725665092205,0.9450323339212228,0.950296309810997,0.9626825329251896,0.948796178042666,0.9377580133918858,0.01920501750269315,5,7.636809110641479,1,100,17,26,2,entropy
"{'n_estimators': 500, 'max_depth': 42, 'min_samples_split': 4, 'min_samples_leaf': 21, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9075437925286256,0.8971558768070396,0.9257098352143852,0.8898457355231875,0.9264361058741646,0.8420705872813152,0.9298215383783712,0.9368829694500193,0.9385385202754296,0.930993938656774,0.9124998899989313,0.02831401415080319,15,35.68011283874512,1,500,42,4,21,entropy
"{'n_estimators': 1000, 'max_depth': 48, 'min_samples_split': 19, 'min_samples_leaf': 19, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.910672806274424,0.898126007706392,0.9272060230098652,0.8936237805044681,0.928517369768966,0.8502267091028265,0.930460107982458,0.9383087703649644,0.9402819166548412,0.9317102177894004,0.9149133709158604,0.02643544937259057,14,73.08623003959656,1,1000,48,19,19,entropy
"{'n_estimators': 500, 'max_depth': 17, 'min_samples_split': 25, 'min_samples_leaf': 25, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9031782034815402,0.8949150110676906,0.9207567021014949,0.8829865001503019,0.9199321562029098,0.8322927013859325,0.926456377925088,0.9346935879502928,0.9333015737868868,0.927392270942718,0.9075905084994856,0.029874044243530653,18,33.007843255996704,1,500,17,25,25,entropy
"{'n_estimators': 500, 'max_depth': 19, 'min_samples_split': 25, 'min_samples_leaf': 16, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9125994042576449,0.89954362856284,0.927896045691799,0.8936784357664034,0.929983714785758,0.8495171873205078,0.9332306216086548,0.93832228506558,0.9453161426341504,0.9337576949326628,0.9163845160626,0.02739730855397218,12,36.50488615036011,1,500,19,25,16,entropy
"{'n_estimators': 500, 'max_depth': 23, 'min_samples_split': 23, 'min_samples_leaf': 18, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9119093815757112,0.9017469188096084,0.9282444729866368,0.8928517749296313,0.9288214505328172,0.8447532553535109,0.930020880212451,0.9382682262631176,0.941322548602242,0.931723732490016,0.9149662641755743,0.027778371547033196,13,36.71610069274902,1,500,23,23,18,entropy
"{'n_estimators': 1000, 'max_depth': 24, 'min_samples_split': 14, 'min_samples_leaf': 22, 'criterion': 'entropy'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.9069152570163692,0.8955811220725276,0.9256756756756755,0.8892650233651245,0.9244426875333644,0.8371850230087778,0.928889024035895,0.9366734915904776,0.9370721752586376,0.9292167555258232,0.9110916235082673,0.029261302382686854,17,69.73997449874878,1,1000,24,14,22,entropy
"{'n_estimators': 100, 'max_depth': 28, 'min_samples_split': 21, 'min_samples_leaf': 14, 'criterion': 'entropy'}",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,9,0.0116279069767441,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00232558139534882,0.00465116279069764,9,0.0229885057471264,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0045977011494252795,0.009195402298850559,9,0.9156874265569918,0.8990448992976798,0.9330063126827536,0.8942830596015632,0.932058221330252,0.8587004263888044,0.938994641421206,0.9387344834343556,0.9446133782021392,0.9346834519248312,0.9189806300840576,0.025911554225355113,10,8.207741022109985,1,100,28,21,14,entropy
"{'n_estimators': 500, 'max_depth': 34, 'min_samples_split': 24, 'min_samples_leaf': 16, 'criterion': 'entropy'}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,10,0.0,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,10,0.0,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,10,0.9163842811466676,0.8999467111196131,0.9309294127292104,0.8970875577296205,0.9313757289491644,0.8548487367133599,0.9326089453803376,0.938923689242974,0.943390297796428,0.9358119294262334,0.9181307290233608,0.02590947149138544,11,38.486252546310425,1,500,34,24,16,entropy
