params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_C,param_kernel
"{'C': 14.851840628906723, 'kernel': 'rbf'}",0.7088607594936709,0.7123287671232876,0.7702702702702703,0.7333333333333333,0.8214285714285714,0.8888888888888888,0.75,0.8142857142857143,0.9310344827586208,0.7011494252873564,0.7831580212869713,0.07516006699411748,7,0.6511627906976745,0.6046511627906976,0.6627906976744186,0.6395348837209303,0.5287356321839081,0.6436781609195402,0.6206896551724138,0.6551724137931034,0.6206896551724138,0.7011494252873564,0.6328254477412456,0.04299716272265184,14,0.6787878787878788,0.6540880503144654,0.7124999999999999,0.6832298136645963,0.6433566433566434,0.7466666666666666,0.679245283018868,0.7261146496815287,0.7448275862068966,0.7011494252873564,0.6969965996984899,0.033786033689153144,4,0.9403301177820894,0.9403027901511218,0.9484225125023912,0.9436811685295,0.9326663828579538,0.9319838904768664,0.9213748504936244,0.9324433902977964,0.9452755985323034,0.928024083196497,0.9364504784820145,0.008074604435589954,15,64.13707709312439,1,14.851840628906723,rbf
"{'C': 91.99139031219407, 'kernel': 'rbf'}",0.6867469879518072,0.6463414634146342,0.7160493827160493,0.6962025316455697,0.7894736842105263,0.8611111111111112,0.7647058823529411,0.7746478873239436,0.8983050847457628,0.7011494252873564,0.7534733440759702,0.07601356159186909,15,0.6627906976744186,0.6162790697674418,0.6744186046511628,0.6395348837209303,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.6091954022988506,0.7011494252873564,0.636313819834269,0.053866797106363745,4,0.6745562130177515,0.6309523809523809,0.6946107784431137,0.6666666666666667,0.625,0.779874213836478,0.6709677419354838,0.6962025316455697,0.726027397260274,0.7011494252873564,0.6866007349045075,0.042779248658793616,12,0.9309294127292106,0.9392370125433824,0.942690541906922,0.9429979777553084,0.9267942454404778,0.9311865231405462,0.931652780311784,0.9366194327880152,0.9512423388540886,0.9226317176508748,0.935598198312061,0.00816423335271845,19,64.56939053535461,1,91.99139031219407,rbf
"{'C': 11.17549227919172, 'kernel': 'rbf'}",0.717948717948718,0.7083333333333334,0.7777777777777778,0.7534246575342466,0.8214285714285714,0.9310344827586208,0.7571428571428571,0.859375,0.9464285714285714,0.6853932584269663,0.7958287227779662,0.08671312543235243,6,0.6511627906976745,0.5930232558139535,0.6511627906976745,0.6395348837209303,0.5287356321839081,0.6206896551724138,0.6091954022988506,0.632183908045977,0.6091954022988506,0.7011494252873564,0.6236033146217589,0.04268321995141199,17,0.6829268292682927,0.6455696202531647,0.7088607594936709,0.6918238993710691,0.6433566433566434,0.7448275862068966,0.6751592356687899,0.7284768211920529,0.7412587412587412,0.6931818181818182,0.695544195425114,0.03405249729859722,5,0.9391481977427376,0.942284043396278,0.9503969338398054,0.942936490585631,0.929024171042051,0.9316798097130154,0.92445620223398,0.9346462864981384,0.94672842884848,0.9299634427348348,0.9371264006634952,0.008037763504641476,6,65.55335903167725,1,11.17549227919172,rbf
"{'C': 83.55600570969578, 'kernel': 'rbf'}",0.6785714285714286,0.65,0.7160493827160493,0.6962025316455697,0.7894736842105263,0.8611111111111112,0.7647058823529411,0.7746478873239436,0.8983050847457628,0.7011494252873564,0.753021641796469,0.076266610344361,17,0.6627906976744186,0.6046511627906976,0.6744186046511628,0.6395348837209303,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.6091954022988506,0.7011494252873564,0.6351510291365946,0.0544094937706042,13,0.6705882352941176,0.6265060240963854,0.6946107784431137,0.6666666666666667,0.625,0.779874213836478,0.6709677419354838,0.6962025316455697,0.726027397260274,0.7011494252873564,0.6857593014465445,0.04349658108551752,17,0.9362787964911322,0.9415461973601508,0.944849424753368,0.9431277840024048,0.927422679019103,0.9310513761343902,0.9306324204153068,0.9374168001243351,0.9511342212491638,0.9276186421780293,0.9371078341727385,0.00758849160683665,7,65.30375003814697,1,83.55600570969578,rbf
"{'C': 17.30278486827011, 'kernel': 'rbf'}",0.7051282051282052,0.7027027027027027,0.7435897435897436,0.7368421052631579,0.8421052631578947,0.8656716417910447,0.7432432432432432,0.8142857142857143,0.8833333333333333,0.7011494252873564,0.7738051377782396,0.06708476690578519,8,0.6395348837209303,0.6046511627906976,0.6744186046511628,0.6511627906976745,0.5517241379310345,0.6666666666666666,0.632183908045977,0.6551724137931034,0.6091954022988506,0.7011494252873564,0.6385859395883454,0.04002776164163383,1,0.6707317073170733,0.6499999999999999,0.7073170731707318,0.6913580246913581,0.6666666666666666,0.7532467532467532,0.6832298136645962,0.7261146496815287,0.7210884353741497,0.7011494252873564,0.6970902549100214,0.02959015933359215,3,0.9410884595414424,0.9439032055311124,0.9468306779985244,0.9459561938075588,0.9295107002642125,0.931159493739315,0.92605093690662,0.936254535871394,0.9435457168535076,0.925922547250772,0.937022246776446,0.007857579958909044,8,65.59797763824463,1,17.30278486827011,rbf
"{'C': 86.65153393948555, 'kernel': 'rbf'}",0.6785714285714286,0.6463414634146342,0.7160493827160493,0.6962025316455697,0.7894736842105263,0.8611111111111112,0.7647058823529411,0.7746478873239436,0.8983050847457628,0.7011494252873564,0.7526557881379323,0.07676706443933584,18,0.6627906976744186,0.6162790697674418,0.6744186046511628,0.6395348837209303,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.6091954022988506,0.7011494252873564,0.636313819834269,0.053866797106363745,4,0.6705882352941176,0.6309523809523809,0.6946107784431137,0.6666666666666667,0.625,0.779874213836478,0.6709677419354838,0.6962025316455697,0.726027397260274,0.7011494252873564,0.686203937132144,0.04290733772873775,14,0.9379321181646764,0.9410679638182166,0.944541988904982,0.9439134533927253,0.9246724374438297,0.9308283835742328,0.9328150445647254,0.9391061377012844,0.9512017947522418,0.92678748809017,0.9372866810407083,0.007995413921447704,3,65.94209289550781,1,86.65153393948555,rbf
"{'C': 54.20994828137845, 'kernel': 'rbf'}",0.6785714285714286,0.6582278481012658,0.7160493827160493,0.7,0.8181818181818182,0.8732394366197183,0.7536231884057971,0.7857142857142857,0.896551724137931,0.7011494252873564,0.7581308537735649,0.07842502695461866,12,0.6627906976744186,0.6046511627906976,0.6744186046511628,0.6511627906976745,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.5977011494252874,0.7011494252873564,0.6351643945469126,0.05529004032419915,11,0.6705882352941176,0.6303030303030303,0.6946107784431137,0.674698795180723,0.6338028169014085,0.7848101265822784,0.6666666666666667,0.7006369426751593,0.7172413793103448,0.7011494252873564,0.6874508196644198,0.0421924432316844,9,0.9369756510808078,0.9444770857814336,0.9438178066843383,0.9453071625720766,0.9283687080621946,0.9310378614337746,0.9271658997074068,0.9372478663666404,0.9487691486414348,0.9267469439883234,0.9369914134318431,0.00788576810315221,10,63.104517221450806,1,54.20994828137845,rbf
"{'C': 43.145838823797845, 'kernel': 'rbf'}",0.6785714285714286,0.6666666666666666,0.7160493827160493,0.7,0.8035714285714286,0.8732394366197183,0.7647058823529411,0.7857142857142857,0.8813559322033898,0.6931818181818182,0.7563056261597727,0.07438671726161808,13,0.6627906976744186,0.6046511627906976,0.6744186046511628,0.6511627906976745,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.5977011494252874,0.7011494252873564,0.6351643945469126,0.05529004032419915,11,0.6705882352941176,0.6341463414634145,0.6946107784431137,0.674698795180723,0.6293706293706294,0.7848101265822784,0.6709677419354838,0.7006369426751593,0.7123287671232876,0.6971428571428572,0.6869301215211066,0.041650256566219054,11,0.9360875030743584,0.9452559232640122,0.9434762112972428,0.9468101822752986,0.925557650334151,0.9292809503537472,0.921651901856244,0.9376397926844926,0.9502490083588424,0.9245778345395204,0.936058695803791,0.00977059023073963,17,63.9515278339386,1,43.145838823797845,rbf
"{'C': 78.45770859698418, 'kernel': 'rbf'}",0.6785714285714286,0.65,0.7160493827160493,0.7,0.8035714285714286,0.8611111111111112,0.7647058823529411,0.7746478873239436,0.8983050847457628,0.7011494252873564,0.7548111630680022,0.07677457094485382,14,0.6627906976744186,0.6046511627906976,0.6744186046511628,0.6511627906976745,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.6091954022988506,0.7011494252873564,0.636313819834269,0.05461462041334763,4,0.6705882352941176,0.6265060240963854,0.6946107784431137,0.674698795180723,0.6293706293706294,0.779874213836478,0.6709677419354838,0.6962025316455697,0.726027397260274,0.7011494252873564,0.686999577235013,0.04260274468060351,10,0.9353154974995216,0.943951028885306,0.9433190774191784,0.9437289918836936,0.9222262766324067,0.9296053031685216,0.9344705953901355,0.9399710785406824,0.9522018825977956,0.9269766938987885,0.937176642591603,0.008693594968998032,5,63.10519099235535,1,78.45770859698418,rbf
"{'C': 86.82298110241487, 'kernel': 'rbf'}",0.6785714285714286,0.6463414634146342,0.7160493827160493,0.6962025316455697,0.7894736842105263,0.8611111111111112,0.7647058823529411,0.7746478873239436,0.8983050847457628,0.7011494252873564,0.7526557881379323,0.07676706443933584,18,0.6627906976744186,0.6162790697674418,0.6744186046511628,0.6395348837209303,0.5172413793103449,0.7126436781609196,0.5977011494252874,0.632183908045977,0.6091954022988506,0.7011494252873564,0.636313819834269,0.053866797106363745,4,0.6705882352941176,0.6309523809523809,0.6946107784431137,0.6666666666666667,0.625,0.779874213836478,0.6709677419354838,0.6962025316455697,0.726027397260274,0.7011494252873564,0.686203937132144,0.04290733772873775,14,0.9311002104227584,0.942277211488536,0.9429706501243408,0.9439612767469188,0.9221114016771744,0.930558089561921,0.9267401866380156,0.9390318068478988,0.9522626987505658,0.924956246156757,0.9355969778414887,0.009368256841162936,20,63.58436870574951,1,86.82298110241487,rbf
