params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_AUC,split1_test_AUC,split2_test_AUC,split3_test_AUC,split4_test_AUC,split5_test_AUC,split6_test_AUC,split7_test_AUC,split8_test_AUC,split9_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,time_total_s,training_iteration,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_tree_method,param_gpu_id,param_scale_pos_weight
"{'n_estimators': 500, 'learning_rate': 0.18854129063280464, 'max_depth': 22, 'min_child_weight': 5, 'reg_alpha': 0.056973140375242634, 'reg_lambda': 0.09235477286701892, 'gamma': 7.424565923457771, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.56,0.7575757575757576,0.7692307692307693,0.7058823529411765,0.9130434782608696,0.75,0.8571428571428571,0.9032258064516128,0.96875,0.8611111111111112,0.8045962132714154,0.11419469044115493,5,0.1627906976744186,0.2906976744186046,0.2325581395348837,0.2790697674418604,0.2413793103448276,0.1034482758620689,0.3448275862068966,0.3218390804597701,0.3563218390804598,0.3563218390804598,0.268925421010425,0.08071111016616772,11,0.2522522522522523,0.4201680672268907,0.3571428571428571,0.4,0.3818181818181818,0.1818181818181818,0.4918032786885247,0.4745762711864406,0.5210084033613446,0.5040650406504066,0.398465253414508,0.10556762808382643,10,0.9182493919602108,0.898447107370262,0.9265160003279316,0.9008758505725138,0.9161007385783886,0.8726813841756371,0.9391433031279774,0.9422956070465648,0.946657476670248,0.9369505429530972,0.9197917402782831,0.022340786020015723,9,14.174026250839232,1,500,0.18854129063280464,22,5,0.056973140375242634,0.09235477286701892,7.424565923457771,gpu_hist,0,0.9515659955257271
"{'n_estimators': 500, 'learning_rate': 0.06045503776295944, 'max_depth': 7, 'min_child_weight': 30, 'reg_alpha': 0.016682466061713655, 'reg_lambda': 0.0881942714320921, 'gamma': 87.23709941575338, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,17,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0011494252873563199,0.0034482758620689594,18,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.00227272727272727,0.006818181818181809,18,0.7704342360560763,0.807883338343399,0.8438635804662094,0.8278564206268958,0.8295728678870441,0.7412576780392872,0.8894463702892822,0.9115327697703176,0.8728604539587937,0.8898720833586735,0.8384579798795979,0.05195880775341507,18,14.31902313232422,1,500,0.06045503776295944,7,30,0.016682466061713655,0.0881942714320921,87.23709941575338,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.07909800162688332, 'max_depth': 34, 'min_child_weight': 8, 'reg_alpha': 0.07259315927414933, 'reg_lambda': 0.084422673159228, 'gamma': 81.51563081383316, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,17,0.0,0.0,0.0116279069767441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00116279069767441,0.0034883720930232297,17,0.0,0.0,0.0229885057471264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022988505747126397,0.006896551724137919,17,0.7691395895389828,0.8124982920230646,0.8501865110813545,0.8251441532533544,0.8303972646245954,0.766303796955138,0.8924466338259441,0.9008358842330744,0.8809354875766116,0.8935683539770386,0.8421455967089158,0.04751446813498626,16,24.87726712226868,1,1000,0.07909800162688332,34,8,0.07259315927414933,0.084422673159228,81.51563081383316,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.014399459999271412, 'max_depth': 22, 'min_child_weight': 23, 'reg_alpha': 0.051250835768107426, 'reg_lambda': 0.00655112379418132, 'gamma': 97.82742835392293, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,17,0.0,0.0,0.0,0.0,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0011494252873563199,0.0034482758620689594,18,0.0,0.0,0.0,0.0,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.00227272727272727,0.006818181818181809,18,0.7698501079441422,0.8077535320963025,0.8402870767633155,0.82701609597464,0.8295728678870441,0.7258171325859704,0.8894125835377431,0.8981599735111868,0.8765432098765433,0.887851635616642,0.835226421579353,0.053383011492511456,20,26.15169239044189,1,1000,0.014399459999271412,22,23,0.051250835768107426,0.00655112379418132,97.82742835392293,gpu_hist,0,0.9515659955257271
"{'n_estimators': 500, 'learning_rate': 0.046659054258426126, 'max_depth': 39, 'min_child_weight': 27, 'reg_alpha': 0.07480692125137016, 'reg_lambda': 0.04097480938291352, 'gamma': 15.696671712463973, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.6428571428571429,0.8571428571428571,0.8,0.1428571428571428,0.9333333333333332,0.5,0.7894736842105263,0.9411764705882352,1.0,1.0,0.7606840630989238,0.2553738174466758,11,0.1046511627906976,0.0697674418604651,0.0930232558139534,0.0116279069767441,0.160919540229885,0.0229885057471264,0.1724137931034483,0.1839080459770115,0.2183908045977011,0.160919540229885,0.11986099973269175,0.06671071938091848,13,0.18,0.1290322580645161,0.1666666666666666,0.021505376344086,0.2745098039215686,0.0439560439560439,0.2830188679245283,0.3076923076923077,0.3584905660377358,0.2772277227722772,0.204209961337973,0.10849202633803276,12,0.8621389336758397,0.8603626376629412,0.883143634028366,0.873087065832263,0.8685898085642658,0.8171562366964666,0.910255630562144,0.924990032908296,0.9130092508125712,0.909954928473447,0.8822688159216601,0.031171758375572355,11,15.738778591156006,1,500,0.046659054258426126,39,27,0.07480692125137016,0.04097480938291352,15.696671712463973,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.057354762582901515, 'max_depth': 35, 'min_child_weight': 5, 'reg_alpha': 0.06925523443094736, 'reg_lambda': 0.04902496507301514, 'gamma': 98.23739098435217, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.7704444839176892,0.8096937938950072,0.8484956139152298,0.8276617112562511,0.8320663301506213,0.7382033557001628,0.8938994641421205,0.8990722158027394,0.882651854554792,0.8950786217708312,0.8397267445105445,0.052586226505642694,17,22.51817560195923,1,1000,0.057354762582901515,35,5,0.06925523443094736,0.04902496507301514,98.23739098435217,gpu_hist,0,0.9515659955257271
"{'n_estimators': 100, 'learning_rate': 0.26520345769303943, 'max_depth': 25, 'min_child_weight': 20, 'reg_alpha': 0.09954323676713467, 'reg_lambda': 0.09081724265132228, 'gamma': 18.36487148747981, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.625,0.8571428571428571,0.5882352941176471,0.0526315789473684,0.6521739130434783,0.4,0.8,0.9333333333333332,0.9047619047619048,0.9230769230769232,0.6736355804423513,0.26521082249999856,15,0.1162790697674418,0.0697674418604651,0.1162790697674418,0.0116279069767441,0.1724137931034483,0.0229885057471264,0.1839080459770115,0.160919540229885,0.2183908045977011,0.1379310344827586,0.12105052125100238,0.06496447521760053,12,0.196078431372549,0.1290322580645161,0.1941747572815534,0.019047619047619,0.2727272727272727,0.0434782608695652,0.2990654205607476,0.2745098039215686,0.3518518518518519,0.2399999999999999,0.20199656756972434,0.10373167224203468,13,0.8636214576558358,0.8625078566939033,0.8835398846773973,0.874494438827098,0.867650536871482,0.8055640022434403,0.908522370208194,0.9232466365288844,0.9144282943772089,0.9105461966253792,0.8814121674708822,0.03330545496070012,12,4.398530960083008,1,100,0.26520345769303943,25,20,0.09954323676713467,0.09081724265132228,18.36487148747981,gpu_hist,0,0.9515659955257271
"{'n_estimators': 1000, 'learning_rate': 0.1997337030625595, 'max_depth': 45, 'min_child_weight': 21, 'reg_alpha': 0.031789026121498296, 'reg_lambda': 0.023997122907618948, 'gamma': 40.3897459835407, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.4285714285714285,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,0.7678571428571429,0.36744081850284516,10,0.0348837209302325,0.0581395348837209,0.0813953488372093,0.0116279069767441,0.0,0.0114942528735632,0.1034482758620689,0.0229885057471264,0.1034482758620689,0.057471264367816,0.04848970863405502,0.03634776352484556,14,0.064516129032258,0.1098901098901098,0.1505376344086021,0.0222222222222222,0.0,0.0227272727272727,0.1875,0.0449438202247191,0.1875,0.108695652173913,0.08985328406790968,0.06581881783839512,14,0.7991282485721314,0.8484272948378104,0.8748599458912908,0.8599937146448775,0.850111834147594,0.7970362261550001,0.8956631325724557,0.9160973599032348,0.902447512281484,0.90158595011724,0.864535121912312,0.03983291396600624,13,23.50575590133667,1,1000,0.1997337030625595,45,21,0.031789026121498296,0.023997122907618948,40.3897459835407,gpu_hist,0,0.9515659955257271
"{'n_estimators': 500, 'learning_rate': 0.2828800072335119, 'max_depth': 45, 'min_child_weight': 20, 'reg_alpha': 0.07131071395853289, 'reg_lambda': 0.03208439730926989, 'gamma': 97.67022806629055, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.35,0.45000000000000007,16,0.0,0.0348837209302325,0.0116279069767441,0.0116279069767441,0.0,0.0114942528735632,0.0,0.0,0.0,0.0,0.0069633787757283905,0.01065139350806616,16,0.0,0.0674157303370786,0.0229885057471264,0.0227272727272727,0.0,0.0227272727272727,0.0,0.0,0.0,0.0,0.013585878153875039,0.02064133981234658,16,0.7685486295193069,0.8077808597272702,0.8396175498046075,0.8278359249036701,0.8303026617202862,0.749967902586038,0.8806550575388378,0.8955144708656841,0.8746849385418991,0.8869934521275517,0.8361901447335152,0.04742601499287057,19,13.327443361282349,1,500,0.2828800072335119,45,20,0.07131071395853289,0.03208439730926989,97.67022806629055,gpu_hist,0,0.9515659955257271
"{'n_estimators': 500, 'learning_rate': 0.21982066857546154, 'max_depth': 30, 'min_child_weight': 12, 'reg_alpha': 0.053545096353531815, 'reg_lambda': 0.09564440307942203, 'gamma': 2.2292647913330965, 'tree_method': 'gpu_hist', 'gpu_id': 0, 'scale_pos_weight': 0.9515659955257271}",0.5853658536585366,0.696969696969697,0.7692307692307693,0.3888888888888889,0.8888888888888888,0.6153846153846154,0.7435897435897436,0.8529411764705882,0.9705882352941176,0.8461538461538461,0.7358001714529692,0.16267312471309092,14,0.2790697674418604,0.2674418604651162,0.2325581395348837,0.1627906976744186,0.2758620689655172,0.0919540229885057,0.3333333333333333,0.3333333333333333,0.3793103448275862,0.3793103448275862,0.2734963913392141,0.08747384959689099,10,0.3779527559055118,0.3865546218487394,0.3571428571428571,0.2295081967213115,0.4210526315789473,0.16,0.4603174603174603,0.4793388429752065,0.5454545454545454,0.5238095238095238,0.3941131435754103,0.11648449783502215,11,0.885654360123521,0.8988433580192934,0.9201930697127866,0.903598365807668,0.9059816064924622,0.8913553217512349,0.9390351855230528,0.9394169758154431,0.9462283849257028,0.9315750707832444,0.916188169895441,0.020806915909685843,10,13.110487461090088,1,500,0.21982066857546154,30,12,0.053545096353531815,0.09564440307942203,2.2292647913330965,gpu_hist,0,0.9515659955257271
